difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.6612,0.8562,0.6812,0.3625,0.7,0.4,0.8562,0.6812,0.75,0.7,0.75,0.7,1.0,0.85,0.8,0.85,0.9,0.9,0.55,0.65,0.6,0.85,0.7,0.85,0.8,0.85,0.9,0.9,0.55,0.65,0.6,0.85,0.7
hard,0.6684,0.8156,0.7562,0.6156,0.525,0.2,0.8156,0.7562,0.5,0.525,0.5,0.525,1.0,0.75,0.8,0.8,0.85,0.875,0.7,0.775,0.75,0.775,0.75,0.75,0.8,0.8,0.85,0.875,0.7,0.775,0.75,0.775,0.75
medium,0.3525,0.3375,0.4062,0.35,0.375,0.1,0.3375,0.4062,0.375,0.375,0.375,0.375,1.0,0.325,0.325,0.275,0.375,0.425,0.35,0.45,0.45,0.35,0.4,0.325,0.325,0.275,0.375,0.425,0.35,0.45,0.45,0.35,0.4
