difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.7025,0.8188,0.775,0.45,0.8,0.4,0.8188,0.775,0.7,0.8,0.7,0.8,1.0,0.7,0.75,0.85,0.9,0.85,0.7,0.7,0.75,0.9,0.8,0.7,0.75,0.85,0.9,0.85,0.7,0.7,0.75,0.9,0.8
hard,0.725,0.8844,0.9875,0.8125,0.425,0.175,0.8844,0.9875,0.425,0.425,0.425,0.425,1.0,0.575,0.925,0.925,0.9,1.0,0.9,1.0,1.0,1.0,1.0,0.575,0.925,0.925,0.9,1.0,0.9,1.0,1.0,1.0,1.0
medium,0.5781,0.5594,0.65,0.5812,0.6,0.1,0.5594,0.65,0.5,0.6,0.5,0.6,1.0,0.35,0.45,0.625,0.65,0.675,0.4,0.625,0.625,0.75,0.8,0.35,0.45,0.625,0.65,0.675,0.4,0.625,0.625,0.75,0.8
