difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.2338,0.3312,0.3438,0.1375,0.2,0.35,0.3312,0.3438,0.4,0.2,0.4,0.2,1.0,0.25,0.3,0.35,0.35,0.4,0.35,0.2,0.35,0.4,0.5,0.25,0.3,0.35,0.35,0.4,0.35,0.2,0.35,0.4,0.5
hard,0.2666,0.4344,0.3344,0.1844,0.125,0.275,0.4344,0.3344,0.075,0.125,0.075,0.125,1.0,0.25,0.425,0.4,0.55,0.475,0.35,0.375,0.325,0.3,0.325,0.25,0.425,0.4,0.55,0.475,0.35,0.375,0.325,0.3,0.325
medium,0.2412,0.2188,0.2844,0.2375,0.275,0.05,0.2188,0.2844,0.1,0.275,0.1,0.275,1.0,0.175,0.2,0.225,0.25,0.225,0.2,0.275,0.3,0.3,0.325,0.175,0.2,0.225,0.25,0.225,0.2,0.275,0.3,0.3,0.325
