difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.9062,0.925,0.8375,0.8375,0.95,0.0,0.925,0.8375,0.95,0.95,0.95,0.95,1.0,0.8,0.85,0.95,1.0,1.0,0.75,0.85,0.95,0.8,0.75,0.8,0.85,0.95,1.0,1.0,0.75,0.85,0.95,0.8,0.75
hard,0.8453,0.9062,0.8594,0.8594,0.75,0.0,0.9062,0.8594,0.8,0.75,0.8,0.75,1.0,0.675,0.875,0.95,1.0,0.925,0.825,0.775,0.9,0.875,0.95,0.675,0.875,0.95,1.0,0.925,0.825,0.775,0.9,0.875,0.95
medium,0.7775,0.7906,0.7875,0.7875,0.75,0.0,0.7906,0.7875,0.75,0.75,0.75,0.75,1.0,0.5,0.7,0.875,0.875,0.925,0.575,0.75,0.775,0.9,0.875,0.5,0.7,0.875,0.875,0.925,0.575,0.75,0.775,0.9,0.875
