rule_family,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.7895,0.8487,0.7941,0.7941,0.7895,0.0,0.8487,0.7941,1.0,0.8824,1.0,0.8824,0.8947,0.7368,0.8421,0.8421,0.8947,0.8947,0.7059,0.7647,0.8235,0.8235,0.8235,0.7368,0.8421,0.8421,0.8947,0.8947,0.7059,0.7647,0.8235,0.8235,0.8235
iteration,0.9233,0.983,0.9034,0.9034,0.8636,0.0,0.983,0.9034,1.0,0.8636,1.0,0.8636,1.0,0.9545,0.9545,1.0,1.0,1.0,0.7727,0.8636,0.9091,0.9545,1.0,0.9545,0.9545,1.0,1.0,1.0,0.7727,0.8636,0.9091,0.9545,1.0
partitioning,0.7678,0.4934,0.9013,0.9013,1.0,0.0,0.4934,0.9013,0.2105,1.0,0.2105,1.0,1.0,0.3684,0.3684,0.4737,0.5263,0.8421,0.8421,0.8421,0.8947,0.9474,1.0,0.3684,0.3684,0.4737,0.5263,0.8421,0.8421,0.8421,0.8947,0.9474,1.0
permutation,0.8444,0.9653,0.75,0.75,0.7778,0.0,0.9653,0.75,1.0,0.7778,1.0,0.7778,1.0,0.9444,0.9444,0.9444,1.0,1.0,0.6667,0.7222,0.7778,0.7778,0.7778,0.9444,0.9444,0.9444,1.0,1.0,0.6667,0.7222,0.7778,0.7778,0.7778
reindexing,0.7568,0.6477,0.925,0.925,0.8182,0.0,0.6477,0.925,0.7,0.9,0.7,0.9,0.9091,0.5455,0.6364,0.6364,0.6818,0.7273,0.9,0.95,0.95,0.9,0.9,0.5455,0.6364,0.6364,0.6818,0.7273,0.9,0.95,0.95,0.9,0.9
