rule,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_append_boundary_side_first,0.4819,0.6944,0.5694,0.5694,0.1111,0.0,0.6944,0.5694,0.7778,0.1111,0.7778,0.1111,1.0,0.5556,0.5556,0.5556,0.8889,1.0,0.2222,0.6667,0.4444,0.6667,0.7778,0.5556,0.5556,0.5556,0.8889,1.0,0.2222,0.6667,0.4444,0.6667,0.7778
extension_append_boundary_side_last,0.4238,0.675,0.3125,0.3125,0.2,0.0,0.675,0.3125,0.9,0.2,0.9,0.2,1.0,0.5,0.7,0.7,0.7,0.7,0.3,0.3,0.4,0.3,0.2,0.5,0.7,0.7,0.7,0.7,0.3,0.3,0.4,0.3,0.2
iteration_duplicate,0.4716,0.7614,0.2841,0.2841,0.2727,0.0,0.7614,0.2841,0.7727,0.2727,0.7727,0.2727,1.0,0.5909,0.7273,0.7273,0.8636,0.8636,0.2727,0.2727,0.2727,0.2727,0.3636,0.5909,0.7273,0.7273,0.8636,0.8636,0.2727,0.2727,0.2727,0.2727,0.3636
partitioning_by_offset_offset_0,0.2575,0.0625,0.275,0.275,0.5,0.0,0.0625,0.275,0.1,0.5,0.1,0.5,1.0,0.0,0.1,0.0,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.0,0.1,0.0,0.1,0.1,0.1,0.3,0.3,0.3,0.3
partitioning_by_offset_offset_1,0.2389,0.2222,0.1667,0.1667,0.3333,0.0,0.2222,0.1667,0.1111,0.3333,0.1111,0.3333,1.0,0.1111,0.3333,0.1111,0.2222,0.3333,0.0,0.0,0.3333,0.2222,0.2222,0.1111,0.3333,0.1111,0.2222,0.3333,0.0,0.0,0.3333,0.2222,0.2222
permutation_reverse,0.4,0.25,0.5,0.5,0.5,0.0,0.25,0.5,0.3333,0.5,0.3333,0.5,1.0,0.1667,0.2778,0.2222,0.2778,0.2778,0.3333,0.4444,0.5,0.5556,0.6667,0.1667,0.2778,0.2222,0.2778,0.2778,0.3333,0.4444,0.5,0.5556,0.6667
reindexing_rotate_k_-1,0.2762,0.2125,0.2375,0.2375,0.4,0.0,0.2125,0.2375,0.3,0.4,0.3,0.4,1.0,0.0,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.0,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3
reindexing_rotate_k_1,0.3188,0.2812,0.4375,0.4375,0.25,0.0,0.2812,0.4375,0.3333,0.25,0.3333,0.25,1.0,0.1667,0.1667,0.3333,0.3333,0.4167,0.4167,0.3333,0.3333,0.5833,0.5833,0.1667,0.1667,0.3333,0.3333,0.4167,0.4167,0.3333,0.3333,0.5833,0.5833
