difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.45,0.8812,0.7688,0.325,0.0,0.65,0.8625,0.7688,0.8,0.0,0.8,0.0,1.0,0.1,0.9,1.0,1.0,1.0,0.15,0.6,0.9,1.0,1.0,0.15,0.95,1.0,1.0,1.0,0.15,0.6,0.9,1.0,1.0
hard,0.3522,0.7938,0.5375,0.1156,0.0,0.8,0.7938,0.5375,0.75,0.0,0.75,0.0,1.0,0.275,0.725,0.925,0.925,0.925,0.025,0.45,0.625,0.7,0.725,0.275,0.725,0.925,0.925,0.925,0.025,0.45,0.625,0.7,0.725
medium,0.3831,0.8406,0.7125,0.1312,0.025,0.85,0.8406,0.7062,0.875,0.025,0.875,0.025,1.0,0.25,0.8,0.975,0.975,0.975,0.05,0.65,0.85,0.85,0.9,0.25,0.8,0.975,0.975,0.975,0.05,0.675,0.85,0.85,0.9
