shift_type,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
full_context_and_rule_remap,0.3584,0.3875,0.3562,0.3031,0.375,0.125,0.3875,0.3562,0.575,0.375,0.575,0.375,1.0,0.775,0.15,0.65,0.05,0.625,0.725,0.025,0.575,0.15,0.625,0.775,0.15,0.65,0.05,0.625,0.725,0.025,0.575,0.15,0.625
full_rule_remap_same_context,0.3394,0.3375,0.3237,0.2115,0.475,0.2821,0.3375,0.3237,0.4872,0.4872,0.4872,0.4872,0.975,0.55,0.15,0.475,0.2,0.5,0.6154,0.1538,0.4615,0.1538,0.4359,0.55,0.15,0.475,0.2,0.5,0.6154,0.1538,0.4615,0.1538,0.4359
single_rule_remap_same_context,0.3094,0.3938,0.3421,0.1118,0.4,0.5263,0.3938,0.3421,0.5789,0.4211,0.5789,0.4211,0.95,0.55,0.15,0.65,0.2,0.6,0.6316,0.1053,0.5263,0.1579,0.5263,0.55,0.15,0.65,0.2,0.6,0.6316,0.1053,0.5263,0.1579,0.5263
