shift_type,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
full_context_and_rule_remap,0.3244,0.3375,0.3558,0.3141,0.325,0.1282,0.3375,0.3558,0.3077,0.3333,0.3077,0.3333,0.975,0.7,0.075,0.575,0.05,0.6,0.7179,0.0,0.6923,0.0256,0.6923,0.7,0.075,0.575,0.05,0.6,0.7179,0.0,0.6923,0.0256,0.6923
full_rule_remap_same_context,0.3184,0.2969,0.3312,0.2406,0.425,0.225,0.2969,0.3312,0.425,0.425,0.425,0.425,1.0,0.45,0.125,0.4,0.175,0.525,0.625,0.125,0.475,0.1,0.625,0.45,0.125,0.4,0.175,0.525,0.625,0.125,0.475,0.1,0.625
single_rule_remap_same_context,0.2731,0.3875,0.225,0.0938,0.3,0.35,0.3875,0.225,0.35,0.3,0.35,0.3,1.0,0.55,0.3,0.5,0.2,0.55,0.4,0.05,0.4,0.05,0.4,0.55,0.3,0.5,0.2,0.55,0.4,0.05,0.4,0.05,0.4
