context_family,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
boundary_relation,0.3741,0.3935,0.3843,0.2407,0.4815,0.2222,0.3935,0.3843,0.7037,0.4815,0.7037,0.4815,1.0,0.5556,0.1111,0.7037,0.1111,0.7407,0.6667,0.0741,0.6667,0.1481,0.6296,0.5556,0.1111,0.7037,0.1111,0.7407,0.6667,0.0741,0.6667,0.1481,0.6296
local_pattern_consistency,0.5111,0.6111,0.4167,0.3333,0.5556,0.3333,0.6111,0.4167,0.6667,0.5556,0.6667,0.5556,1.0,1.0,0.2222,1.0,0.2222,1.0,0.7778,0.0,0.7778,0.1111,0.7778,1.0,0.2222,1.0,0.2222,1.0,0.7778,0.0,0.7778,0.1111,0.7778
majority_existence,0.3833,0.3333,0.2981,0.2115,0.6296,0.1923,0.3333,0.2981,0.6923,0.6538,0.6923,0.6538,0.963,0.7037,0.1111,0.5185,0.0741,0.5556,0.6538,0.0385,0.5385,0.0,0.5769,0.7037,0.1111,0.5185,0.0741,0.5556,0.6538,0.0385,0.5385,0.0,0.5769
repetition_presence,0.3719,0.4258,0.3065,0.2419,0.4375,0.2258,0.4258,0.3065,0.6452,0.4516,0.6452,0.4516,0.9688,0.6562,0.1875,0.625,0.1875,0.75,0.6774,0.0968,0.4516,0.0968,0.4839,0.6562,0.1875,0.625,0.1875,0.75,0.6774,0.0968,0.4516,0.0968,0.4839
size_parity,0.51,0.6,0.4,0.3,0.6,0.2,0.6,0.4,0.6,0.6,0.6,0.6,1.0,1.0,0.2,1.0,0.2,1.0,0.8,0.0,0.8,0.0,0.8,1.0,0.2,1.0,0.2,1.0,0.8,0.0,0.8,0.0,0.8
