shift_type,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
full_context_and_rule_remap,0.5825,0.6688,0.6188,0.525,0.525,0.15,0.6688,0.6188,0.675,0.525,0.675,0.525,1.0,0.75,0.475,0.75,0.65,0.85,0.7,0.4,0.7,0.625,0.8,0.75,0.475,0.75,0.65,0.85,0.7,0.4,0.7,0.625,0.8
full_rule_remap_same_context,0.4728,0.4906,0.5562,0.4219,0.5,0.175,0.4906,0.5562,0.65,0.5,0.65,0.5,1.0,0.65,0.45,0.5,0.375,0.625,0.65,0.475,0.575,0.525,0.65,0.65,0.45,0.5,0.375,0.625,0.65,0.475,0.575,0.525,0.65
single_rule_remap_same_context,0.3456,0.4,0.5125,0.1688,0.45,0.45,0.4,0.5125,0.45,0.45,0.45,0.45,1.0,0.7,0.25,0.45,0.35,0.4,0.65,0.35,0.55,0.55,0.55,0.7,0.25,0.45,0.35,0.4,0.65,0.35,0.55,0.55,0.55
