context_family,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
boundary_relation,0.3843,0.412,0.3657,0.25,0.4815,0.2222,0.412,0.3657,0.6296,0.4815,0.6296,0.4815,1.0,0.7037,0.0741,0.7778,0.037,0.8148,0.7037,0.037,0.7037,0.037,0.6667,0.7037,0.0741,0.7778,0.037,0.8148,0.7037,0.037,0.7037,0.037,0.6667
local_pattern_consistency,0.4458,0.4583,0.4167,0.3194,0.5556,0.2222,0.4583,0.4167,0.7778,0.5556,0.7778,0.5556,1.0,1.0,0.0,0.8889,0.0,0.8889,0.8889,0.0,0.8889,0.0,0.6667,1.0,0.0,0.8889,0.0,0.8889,0.8889,0.0,0.8889,0.0,0.6667
majority_existence,0.3773,0.287,0.3333,0.2083,0.6667,0.2593,0.287,0.3333,0.5926,0.6667,0.5926,0.6667,1.0,0.6296,0.0,0.5556,0.0,0.5556,0.7037,0.0,0.6296,0.0,0.7037,0.6296,0.0,0.5556,0.0,0.5556,0.7037,0.0,0.6296,0.0,0.7037
repetition_presence,0.3617,0.3359,0.4353,0.319,0.4688,0.2759,0.3359,0.4353,0.7931,0.5172,0.7931,0.5172,0.9062,0.5625,0.0625,0.5938,0.0312,0.75,0.7241,0.1724,0.7586,0.1034,0.6897,0.5625,0.0625,0.5938,0.0312,0.75,0.7241,0.1724,0.7586,0.1034,0.6897
size_parity,0.5025,0.6,0.375,0.275,0.6,0.2,0.6,0.375,0.6,0.6,0.6,0.6,1.0,1.0,0.2,1.0,0.2,1.0,0.6,0.0,0.8,0.0,0.8,1.0,0.2,1.0,0.2,1.0,0.6,0.0,0.8,0.0,0.8
