context_family,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
boundary_relation,0.153,0.1319,0.1366,0.0748,0.2593,0.1481,0.1319,0.1366,0.2222,0.2593,0.2222,0.2593,1.0,0.1667,0.0556,0.2037,0.0556,0.2593,0.2222,0.0216,0.2407,0.0247,0.2963,0.1667,0.0556,0.2037,0.0556,0.2593,0.2222,0.0216,0.2407,0.0247,0.2963
local_pattern_consistency,0.0389,0.0139,0.0556,0.0,0.1111,0.1111,0.0139,0.0556,0.1111,0.1111,0.1111,0.1111,1.0,0.0,0.0,0.0,0.0,0.1111,0.1111,0.0,0.1111,0.0,0.1111,0.0,0.0,0.0,0.0,0.1111,0.1111,0.0,0.1111,0.0,0.1111
majority_existence,0.0898,0.0926,0.0833,0.0648,0.1111,0.037,0.0926,0.0833,0.1481,0.1111,0.1481,0.1111,1.0,0.1481,0.037,0.1481,0.037,0.1481,0.1481,0.0,0.1481,0.0,0.2222,0.1481,0.037,0.1481,0.037,0.1481,0.1481,0.0,0.1481,0.0,0.2222
repetition_presence,0.0698,0.069,0.0625,0.0469,0.0938,0.0312,0.069,0.0625,0.1875,0.0938,0.1875,0.0938,1.0,0.1094,0.0156,0.1094,0.026,0.1406,0.0625,0.0312,0.0938,0.0312,0.125,0.1094,0.0156,0.1094,0.026,0.1406,0.0625,0.0312,0.0938,0.0312,0.125
size_parity,0.2325,0.3,0.175,0.175,0.2,0.0,0.3,0.175,0.0,0.2,0.0,0.2,1.0,0.4,0.2,0.4,0.2,0.4,0.2,0.0,0.4,0.0,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.0,0.4,0.0,0.4
