rule_family,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.5033,0.4539,0.5987,0.5987,0.4737,0.0,0.4539,0.5987,0.7895,0.4737,0.7895,0.4737,1.0,0.2105,0.3684,0.4211,0.5789,0.6842,0.3158,0.5789,0.6316,0.6842,0.6842,0.2105,0.3684,0.4211,0.5789,0.6842,0.3158,0.5789,0.6316,0.6842,0.6842
iteration,0.6102,0.6648,0.5568,0.5568,0.5909,0.0,0.6648,0.5568,0.7727,0.5909,0.7727,0.5909,1.0,0.4091,0.5909,0.7273,0.7727,0.7273,0.4545,0.5,0.6364,0.5909,0.5455,0.4091,0.5909,0.7273,0.7727,0.7273,0.4545,0.5,0.6364,0.5909,0.5455
partitioning,0.5632,0.4211,0.6316,0.6316,0.6842,0.0,0.4211,0.6316,0.3684,0.6842,0.3684,0.6842,1.0,0.3158,0.2105,0.4737,0.5263,0.6316,0.3684,0.5263,0.7368,0.6842,0.7895,0.3158,0.2105,0.4737,0.5263,0.6316,0.3684,0.5263,0.7368,0.6842,0.7895
permutation,0.5375,0.5208,0.5972,0.5972,0.5,0.0,0.5208,0.5972,0.2778,0.5,0.2778,0.5,1.0,0.1667,0.5,0.5556,0.6667,0.5556,0.4444,0.6111,0.6111,0.6111,0.6667,0.1667,0.5,0.5556,0.6667,0.5556,0.4444,0.6111,0.6111,0.6111,0.6667
reindexing,0.6011,0.5909,0.625,0.625,0.5909,0.0,0.5909,0.625,0.5,0.5909,0.5,0.5909,1.0,0.4091,0.5909,0.6364,0.5909,0.6818,0.5909,0.6364,0.6818,0.5909,0.5909,0.4091,0.5909,0.6364,0.5909,0.6818,0.5909,0.6364,0.6818,0.5909,0.5909
