difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.4719,0.425,0.5062,0.5062,0.5,0.0,0.425,0.5062,0.45,0.5,0.45,0.5,1.0,0.35,0.35,0.4,0.5,0.55,0.45,0.5,0.5,0.55,0.5,0.35,0.35,0.4,0.5,0.55,0.45,0.5,0.5,0.55,0.5
hard,0.4612,0.525,0.4872,0.4872,0.3625,0.0,0.525,0.4872,0.6667,0.3718,0.6667,0.3718,0.975,0.35,0.375,0.575,0.65,0.65,0.3077,0.4615,0.5385,0.5385,0.5128,0.35,0.375,0.575,0.65,0.65,0.3077,0.4615,0.5385,0.5385,0.5128
medium,0.5556,0.5594,0.6014,0.6014,0.55,0.0,0.5594,0.6014,0.4865,0.5946,0.4865,0.5946,0.925,0.4,0.525,0.6,0.6,0.625,0.5676,0.5676,0.7027,0.4865,0.7297,0.4,0.525,0.6,0.6,0.625,0.5676,0.5676,0.7027,0.4865,0.7297
