shift_type,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
full_context_and_rule_remap,0.2984,0.3125,0.3062,0.3031,0.275,0.025,0.3125,0.3062,0.425,0.275,0.425,0.275,1.0,0.475,0.05,0.6,0.025,0.675,0.475,0.075,0.525,0.125,0.525,0.475,0.05,0.6,0.025,0.675,0.475,0.075,0.525,0.125,0.525
full_rule_remap_same_context,0.3375,0.3562,0.3562,0.325,0.325,0.05,0.3562,0.3562,0.375,0.325,0.375,0.325,1.0,0.575,0.125,0.55,0.15,0.625,0.575,0.1,0.65,0.05,0.675,0.575,0.125,0.55,0.15,0.625,0.575,0.1,0.65,0.05,0.675
single_rule_remap_same_context,0.3331,0.4062,0.4688,0.1688,0.4,0.5,0.4062,0.4688,0.5,0.4,0.5,0.4,1.0,0.6,0.1,0.7,0.1,0.85,0.8,0.15,0.85,0.1,0.75,0.6,0.1,0.7,0.1,0.85,0.8,0.15,0.85,0.1,0.75
