shift_type,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
full_context_and_rule_remap,0.3323,0.4297,0.3911,0.3599,0.175,0.1,0.2719,0.2354,0.225,0.125,0.4,0.175,1.0,0.25,0.15,0.375,0.3,0.275,0.375,0.1042,0.25,0.25,0.3,0.4,0.25,0.55,0.4875,0.4625,0.55,0.2042,0.4375,0.3875,0.5208
full_rule_remap_same_context,0.3661,0.3875,0.3599,0.3036,0.4,0.125,0.2479,0.1411,0.25,0.125,0.475,0.4,1.0,0.225,0.2,0.2333,0.2583,0.375,0.225,0.0583,0.1375,0.175,0.1625,0.375,0.3333,0.3833,0.3917,0.5083,0.5083,0.2583,0.3708,0.3,0.5125
single_rule_remap_same_context,0.3744,0.5188,0.4938,0.3062,0.25,0.25,0.4062,0.3562,0.25,0.1,0.3,0.25,1.0,0.35,0.425,0.4,0.45,0.35,0.35,0.35,0.45,0.3667,0.1667,0.45,0.525,0.55,0.525,0.5,0.55,0.45,0.625,0.4667,0.3167
