context_family,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
boundary_relation,0.4022,0.4674,0.5489,0.3696,0.3478,0.2609,0.4674,0.5435,0.3913,0.3478,0.3913,0.3478,1.0,0.5652,0.3043,0.6957,0.3043,0.5652,0.6522,0.3043,0.6087,0.5652,0.7391,0.5652,0.3043,0.6957,0.3043,0.5652,0.6957,0.3043,0.6087,0.5652,0.7391
local_pattern_consistency,0.57,0.75,0.6833,0.5667,0.3333,0.1333,0.75,0.6833,0.3333,0.3333,0.3333,0.3333,1.0,0.7333,0.5333,0.8,0.8,1.0,0.8667,0.4,0.8667,0.6,0.8667,0.7333,0.5333,0.8,0.8,1.0,0.8667,0.4,0.8667,0.6,0.8667
majority_existence,0.3047,0.2967,0.42,0.38,0.24,0.08,0.2967,0.42,0.32,0.24,0.32,0.24,1.0,0.4133,0.0933,0.3733,0.2533,0.52,0.48,0.2,0.56,0.44,0.48,0.4133,0.0933,0.3733,0.2533,0.52,0.48,0.2,0.56,0.44,0.48
repetition_presence,0.4921,0.4907,0.4769,0.4306,0.5556,0.0741,0.4907,0.4769,0.7037,0.5556,0.7037,0.5556,1.0,0.6296,0.2963,0.5556,0.4444,0.7037,0.6667,0.1111,0.7037,0.4444,0.6296,0.6296,0.2963,0.5556,0.4444,0.7037,0.6667,0.1111,0.7037,0.4444,0.6296
size_parity,0.4475,0.65,0.725,0.525,0.1,0.2,0.65,0.725,0.2,0.1,0.2,0.1,1.0,0.7,0.6,0.7,0.6,0.7,0.8,0.6,0.8,0.7,0.8,0.7,0.6,0.7,0.6,0.7,0.8,0.6,0.8,0.7,0.8
