shift_type,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
full_context_and_rule_remap,0.3631,0.35,0.3656,0.3438,0.4,0.075,0.35,0.3656,0.375,0.4,0.375,0.4,1.0,0.65,0.025,0.675,0.0,0.75,0.625,0.0,0.75,0.025,0.75,0.65,0.025,0.675,0.0,0.75,0.625,0.0,0.75,0.025,0.75
full_rule_remap_same_context,0.3084,0.3094,0.3412,0.3142,0.325,0.0541,0.3094,0.3412,0.3514,0.3514,0.3514,0.3514,0.925,0.525,0.075,0.6,0.0,0.6,0.6486,0.0,0.6757,0.0,0.7297,0.525,0.075,0.6,0.0,0.6,0.6486,0.0,0.6757,0.0,0.7297
single_rule_remap_same_context,0.2769,0.35,0.4125,0.1562,0.3,0.55,0.35,0.4125,0.35,0.3,0.35,0.3,1.0,0.75,0.0,0.7,0.0,0.65,0.75,0.05,0.85,0.0,0.75,0.75,0.0,0.7,0.0,0.65,0.75,0.05,0.85,0.0,0.75
