context_family,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
boundary_relation,0.3327,0.346,0.365,0.2563,0.3913,0.2174,0.2391,0.2183,0.1739,0.2609,0.3913,0.3913,1.0,0.1739,0.2609,0.3043,0.2174,0.1739,0.3043,0.1014,0.2174,0.3043,0.1957,0.3043,0.3188,0.4348,0.2826,0.3913,0.5217,0.1884,0.4348,0.3913,0.3696
local_pattern_consistency,0.5367,0.7167,0.6417,0.4333,0.4,0.2667,0.45,0.425,0.2667,0.1333,0.4,0.4,1.0,0.4,0.2333,0.4667,0.5333,0.7333,0.5333,0.3333,0.4333,0.4667,0.4,0.6667,0.5,0.7333,0.8,1.0,0.8,0.5333,0.6667,0.6667,0.6
majority_existence,0.2319,0.2667,0.2375,0.2175,0.2,0.08,0.2417,0.1133,0.16,0.04,0.32,0.2,1.0,0.28,0.2,0.2933,0.2533,0.16,0.24,0.1133,0.12,0.0133,0.1733,0.28,0.2,0.3333,0.2933,0.2,0.4,0.1933,0.3,0.0533,0.4067
repetition_presence,0.3935,0.4653,0.4136,0.3951,0.2963,0.0741,0.2824,0.1806,0.3704,0.1111,0.5926,0.2963,1.0,0.2222,0.2222,0.2963,0.3333,0.3333,0.2593,0.0741,0.2593,0.1852,0.1481,0.4074,0.3704,0.4815,0.5494,0.5123,0.5679,0.2963,0.4444,0.3519,0.5556
size_parity,0.33,0.5125,0.4792,0.4167,0.0,0.1,0.3,0.3083,0.2,0.0,0.2,0.0,1.0,0.3,0.2,0.3,0.3,0.5,0.3,0.1333,0.3,0.5,0.3,0.5,0.4,0.6,0.5,0.6,0.4,0.2333,0.5333,0.7,0.5
