shift_type,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
full_context_and_rule_remap,0.1027,0.0984,0.1672,0.1609,0.05,0.05,0.0891,0.0938,0.05,0.025,0.05,0.05,1.0,0.075,0.05,0.1208,0.075,0.1458,0.15,0.025,0.1625,0.05,0.125,0.075,0.05,0.1458,0.075,0.1708,0.2875,0.075,0.2375,0.075,0.275
full_rule_remap_same_context,0.0956,0.0995,0.1328,0.1109,0.075,0.025,0.0703,0.0797,0.075,0.05,0.075,0.075,1.0,0.0875,0.05,0.1,0.025,0.125,0.0875,0.0125,0.2,0.0,0.125,0.1375,0.075,0.125,0.05,0.1583,0.1625,0.0375,0.275,0.025,0.225
single_rule_remap_same_context,0.0972,0.1375,0.0906,0.0906,0.05,0.05,0.0812,0.0469,0.0,0.0,0.05,0.05,1.0,0.15,0.05,0.1,0.05,0.1,0.075,0.0,0.1,0.0,0.1,0.3,0.05,0.2,0.05,0.2,0.125,0.0,0.2,0.0,0.2
