context_family,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
boundary_relation,0.2,0.2065,0.288,0.2174,0.1739,0.1304,0.2065,0.288,0.087,0.1739,0.087,0.1739,1.0,0.3913,0.0435,0.3913,0.0,0.3913,0.4348,0.087,0.5652,0.0,0.5652,0.3913,0.0435,0.3913,0.0,0.3913,0.4348,0.087,0.5652,0.0,0.5652
local_pattern_consistency,0.3342,0.4167,0.4583,0.3583,0.2,0.1333,0.4167,0.4583,0.2,0.2,0.2,0.2,1.0,0.6667,0.0667,0.6667,0.2,0.8,0.8667,0.2,0.6667,0.1333,0.8,0.6667,0.0667,0.6667,0.2,0.8,0.8667,0.2,0.6667,0.1333,0.8
majority_existence,0.12,0.105,0.12,0.1,0.16,0.04,0.105,0.12,0.16,0.12,0.16,0.16,1.0,0.24,0.0,0.2,0.0,0.2,0.2,0.0,0.24,0.0,0.28,0.24,0.0,0.2,0.0,0.2,0.2,0.0,0.24,0.0,0.28
repetition_presence,0.2407,0.2685,0.2778,0.2222,0.2222,0.0741,0.2685,0.2731,0.2963,0.2222,0.3333,0.2222,1.0,0.4074,0.1111,0.4074,0.1111,0.4815,0.4444,0.0741,0.4815,0.037,0.5556,0.4074,0.1111,0.4074,0.1111,0.4815,0.4815,0.0741,0.4815,0.037,0.5556
size_parity,0.2038,0.35,0.3125,0.2125,0.0,0.1,0.35,0.3125,0.0,0.0,0.0,0.0,1.0,0.5,0.3,0.4,0.2,0.5,0.3,0.3,0.4,0.2,0.4,0.5,0.3,0.4,0.2,0.5,0.3,0.3,0.4,0.2,0.4
