rule,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_append_boundary_side_first,0.8472,0.9722,0.75,0.75,0.7778,0.0,0.9722,0.75,1.0,0.7778,1.0,0.7778,1.0,1.0,0.8889,1.0,1.0,1.0,0.6667,0.7778,0.7778,0.7778,0.6667,1.0,0.8889,1.0,1.0,1.0,0.6667,0.7778,0.7778,0.7778,0.6667
extension_append_boundary_side_last,0.5,0.575,0.4,0.4,0.5,0.0,0.575,0.4,0.6,0.5,0.6,0.5,1.0,0.6,0.5,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4
iteration_duplicate,0.8267,0.9375,0.7784,0.7784,0.7273,0.0,0.9375,0.7784,1.0,0.7273,1.0,0.7273,1.0,0.9091,0.9091,0.9545,0.9545,0.9545,0.6818,0.7273,0.8636,0.7727,0.8182,0.9091,0.9091,0.9545,0.9545,0.9545,0.6818,0.7273,0.8636,0.7727,0.8182
partitioning_by_offset_offset_0,0.52,0.3625,0.55,0.55,0.7,0.0,0.3625,0.55,0.4,0.7,0.4,0.7,1.0,0.3,0.2,0.4,0.5,0.4,0.4,0.4,0.5,0.7,0.8,0.3,0.2,0.4,0.5,0.4,0.4,0.4,0.5,0.7,0.8
partitioning_by_offset_offset_1,0.7972,0.5972,0.8611,0.8611,1.0,0.0,0.5972,0.8611,0.1111,1.0,0.1111,1.0,1.0,0.6667,0.4444,0.5556,0.6667,0.7778,0.8889,0.8889,0.8889,0.7778,0.8889,0.6667,0.4444,0.5556,0.6667,0.7778,0.8889,0.8889,0.8889,0.7778,0.8889
permutation_reverse,0.5847,0.6389,0.5417,0.5417,0.5556,0.0,0.6389,0.5417,0.7222,0.5556,0.7222,0.5556,1.0,0.5556,0.5556,0.6667,0.7222,0.6667,0.5556,0.5,0.5556,0.5556,0.5556,0.5556,0.5556,0.6667,0.7222,0.6667,0.5556,0.5,0.5556,0.5556,0.5556
reindexing_rotate_k_-1,0.405,0.2625,0.5,0.5,0.5,0.0,0.2625,0.5,0.3,0.5,0.3,0.5,1.0,0.2,0.2,0.4,0.2,0.3,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.4,0.2,0.3,0.5,0.5,0.5,0.5,0.5
reindexing_rotate_k_1,0.3917,0.3542,0.5,0.5,0.3333,0.0,0.3542,0.5,0.25,0.3333,0.25,0.3333,1.0,0.3333,0.4167,0.3333,0.3333,0.3333,0.5,0.5,0.5,0.5,0.5,0.3333,0.4167,0.3333,0.3333,0.3333,0.5,0.5,0.5,0.5,0.5
