difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.8119,0.75,0.8062,0.8062,0.9,0.0,0.75,0.8062,0.65,0.9,0.65,0.9,1.0,0.55,0.8,0.8,0.75,0.75,0.75,0.8,0.85,0.8,0.8,0.55,0.8,0.8,0.75,0.75,0.75,0.8,0.85,0.8,0.8
hard,0.8247,0.8219,0.898,0.898,0.8,0.0,0.8219,0.898,0.7895,0.8421,0.7895,0.8421,0.95,0.825,0.825,0.775,0.85,0.85,0.7632,0.8421,0.9211,0.9474,1.0,0.825,0.825,0.775,0.85,0.85,0.7632,0.8421,0.9211,0.9474,1.0
medium,0.7384,0.6625,0.7468,0.7468,0.85,0.0,0.6625,0.7468,0.7692,0.8718,0.7692,0.8718,0.975,0.6,0.575,0.675,0.725,0.75,0.641,0.7436,0.7692,0.7692,0.7692,0.6,0.575,0.675,0.725,0.75,0.641,0.7436,0.7692,0.7692,0.7692
