difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.6962,0.8453,0.6938,0.6938,0.5,0.0,0.8453,0.6938,0.95,0.5,0.95,0.5,1.0,0.7,0.8,0.9,0.95,0.7625,0.6,0.675,0.8,0.7,0.6,0.7,0.8,0.9,0.95,0.7625,0.6,0.675,0.8,0.7,0.6
hard,0.8469,0.9406,0.8188,0.8188,0.75,0.0,0.9406,0.8188,0.85,0.75,0.85,0.75,1.0,0.85,0.925,0.975,0.95,0.975,0.75,0.825,0.775,0.875,0.85,0.85,0.925,0.975,0.95,0.975,0.75,0.825,0.775,0.875,0.85
medium,0.7238,0.7781,0.675,0.675,0.7,0.0,0.7781,0.675,0.9,0.7,0.9,0.7,1.0,0.6,0.675,0.825,0.85,0.925,0.55,0.625,0.625,0.8125,0.725,0.6,0.675,0.825,0.85,0.925,0.55,0.625,0.625,0.8125,0.725
