rule_family,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.8428,0.9276,0.7303,0.7303,0.8421,0.0,0.9276,0.7303,1.0,0.8421,1.0,0.8421,1.0,0.8947,0.8947,0.8947,1.0,0.9474,0.6316,0.5789,0.8947,0.7632,0.7368,0.8947,0.8947,0.8947,1.0,0.9474,0.6316,0.5789,0.8947,0.7632,0.7368
iteration,0.8392,0.956,0.7955,0.7955,0.7273,0.0,0.956,0.7955,1.0,0.7273,1.0,0.7273,1.0,0.8636,0.9545,0.9545,1.0,0.9659,0.6818,0.7727,0.7727,0.8182,0.9545,0.8636,0.9545,0.9545,1.0,0.9659,0.6818,0.7727,0.7727,0.8182,0.9545
partitioning,0.6882,0.6447,0.6974,0.6974,0.7368,0.0,0.6447,0.6974,0.4737,0.7368,0.4737,0.7368,1.0,0.4737,0.4737,0.8421,0.6316,0.7895,0.5263,0.7368,0.6316,0.8421,0.6316,0.4737,0.4737,0.8421,0.6316,0.7895,0.5263,0.7368,0.6316,0.8421,0.6316
permutation,0.7583,0.9167,0.6389,0.6389,0.6667,0.0,0.9167,0.6389,0.9444,0.6667,0.9444,0.6667,1.0,0.7778,0.8889,0.8889,1.0,1.0,0.5556,0.6944,0.5556,0.7222,0.6111,0.7778,0.8889,0.8889,1.0,1.0,0.5556,0.6944,0.5556,0.7222,0.6111
reindexing,0.7068,0.8295,0.7955,0.7955,0.4545,0.0,0.8295,0.7955,1.0,0.4545,1.0,0.4545,1.0,0.5909,0.7727,0.9091,0.9091,0.8636,0.7727,0.7727,0.7273,0.9091,0.7727,0.5909,0.7727,0.9091,0.9091,0.8636,0.7727,0.7727,0.7273,0.9091,0.7727
