rule,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_append_boundary_side_first,0.8653,0.9444,0.7361,0.7361,0.8889,0.0,0.9444,0.7361,1.0,0.8889,1.0,0.8889,1.0,0.8889,0.8889,1.0,1.0,0.8889,0.6667,0.5556,0.8889,0.7778,0.7778,0.8889,0.8889,1.0,1.0,0.8889,0.6667,0.5556,0.8889,0.7778,0.7778
extension_append_boundary_side_last,0.8225,0.9125,0.725,0.725,0.8,0.0,0.9125,0.725,1.0,0.8,1.0,0.8,1.0,0.9,0.9,0.8,1.0,1.0,0.6,0.6,0.9,0.75,0.7,0.9,0.9,0.8,1.0,1.0,0.6,0.6,0.9,0.75,0.7
iteration_duplicate,0.8392,0.956,0.7955,0.7955,0.7273,0.0,0.956,0.7955,1.0,0.7273,1.0,0.7273,1.0,0.8636,0.9545,0.9545,1.0,0.9659,0.6818,0.7727,0.7727,0.8182,0.9545,0.8636,0.9545,0.9545,1.0,0.9659,0.6818,0.7727,0.7727,0.8182,0.9545
partitioning_by_offset_offset_0,0.555,0.4875,0.6,0.6,0.6,0.0,0.4875,0.6,0.7,0.6,0.7,0.6,1.0,0.2,0.3,0.8,0.4,0.7,0.3,0.6,0.5,0.9,0.5,0.2,0.3,0.8,0.4,0.7,0.3,0.6,0.5,0.9,0.5
partitioning_by_offset_offset_1,0.8361,0.8194,0.8056,0.8056,0.8889,0.0,0.8194,0.8056,0.2222,0.8889,0.2222,0.8889,1.0,0.7778,0.6667,0.8889,0.8889,0.8889,0.7778,0.8889,0.7778,0.7778,0.7778,0.7778,0.6667,0.8889,0.8889,0.8889,0.7778,0.8889,0.7778,0.7778,0.7778
permutation_reverse,0.7583,0.9167,0.6389,0.6389,0.6667,0.0,0.9167,0.6389,0.9444,0.6667,0.9444,0.6667,1.0,0.7778,0.8889,0.8889,1.0,1.0,0.5556,0.6944,0.5556,0.7222,0.6111,0.7778,0.8889,0.8889,1.0,1.0,0.5556,0.6944,0.5556,0.7222,0.6111
reindexing_rotate_k_-1,0.7325,0.875,0.875,0.875,0.4,0.0,0.875,0.875,1.0,0.4,1.0,0.4,1.0,0.7,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,1.0,0.7,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,1.0
reindexing_rotate_k_1,0.6854,0.7917,0.7292,0.7292,0.5,0.0,0.7917,0.7292,1.0,0.5,1.0,0.5,1.0,0.5,0.6667,0.9167,0.9167,0.8333,0.75,0.6667,0.6667,0.9167,0.5833,0.5,0.6667,0.9167,0.9167,0.8333,0.75,0.6667,0.6667,0.9167,0.5833
