difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.4944,0.6312,0.5625,0.2562,0.55,0.4,0.6312,0.5625,0.8,0.55,0.8,0.55,1.0,0.65,0.7,0.65,0.6,0.5,0.55,0.55,0.6,0.55,0.55,0.65,0.7,0.65,0.6,0.5,0.55,0.55,0.6,0.55,0.55
hard,0.5809,0.7562,0.625,0.4781,0.45,0.2,0.7562,0.625,0.475,0.45,0.475,0.45,1.0,0.65,0.775,0.75,0.775,0.8,0.725,0.675,0.575,0.6,0.575,0.65,0.775,0.75,0.775,0.8,0.725,0.675,0.575,0.6,0.575
medium,0.2456,0.3281,0.2562,0.1562,0.225,0.125,0.3281,0.2562,0.225,0.225,0.225,0.225,1.0,0.4,0.35,0.35,0.25,0.325,0.325,0.35,0.225,0.2,0.175,0.4,0.35,0.35,0.25,0.325,0.325,0.35,0.225,0.2,0.175
