difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.5593,0.8131,0.8418,0.5016,0.2787,0.4,0.7875,0.8188,0.05,0.0,0.3639,0.2787,1.0,0.3,0.75,0.9,0.9,0.9,0.3,0.85,0.85,0.95,0.95,0.3987,0.7625,0.9125,0.9188,0.9188,0.4793,0.8513,0.8513,0.95,0.95
hard,0.3678,0.5736,0.4736,0.4095,0.062,0.2821,0.5062,0.4583,0.0256,0.0,0.3587,0.0636,0.975,0.175,0.45,0.55,0.625,0.625,0.2051,0.4359,0.5128,0.5128,0.5385,0.3118,0.5024,0.6084,0.6851,0.6851,0.2467,0.4465,0.5363,0.517,0.5427
medium,0.4558,0.6852,0.6703,0.4701,0.1356,0.325,0.65,0.6188,0.05,0.0,0.3181,0.1356,1.0,0.175,0.525,0.775,0.8,0.825,0.15,0.55,0.7,0.75,0.8,0.3026,0.5603,0.7997,0.8121,0.835,0.2648,0.6074,0.7341,0.7904,0.8341
