difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.02,0.05,0.875,0.0,0.0,1.0,0.0438,0.875,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.05,0.0,1.0,1.0,1.0,1.0,0.05,0.05,0.05,0.05,0.05,0.0,1.0,1.0,1.0,1.0
hard,0.075,0.0941,0.7927,0.3938,0.0555,0.5714,0.0875,0.7857,0.5714,0.0,0.7175,0.3174,0.175,0.0,0.1,0.1,0.1,0.1,0.1429,0.7143,0.8571,1.0,1.0,0.0359,0.1,0.1,0.1083,0.1,0.1984,0.7143,0.8571,1.0,1.0
medium,0.0349,0.0721,0.875,0.0,0.0203,1.0,0.0688,0.875,0.6667,0.0,1.0,0.2708,0.075,0.025,0.075,0.075,0.075,0.075,0.0,1.0,1.0,1.0,1.0,0.0521,0.075,0.075,0.075,0.075,0.0,1.0,1.0,1.0,1.0
