difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.1506,0.0906,0.2188,0.1812,0.2,0.05,0.0781,0.0812,0.1,0.1,0.1,0.2,1.0,0.1,0.05,0.1,0.05,0.125,0.1,0.1,0.075,0.05,0.1,0.1,0.1,0.1,0.05,0.125,0.1,0.15,0.325,0.2,0.3
hard,0.0909,0.0469,0.2031,0.2031,0.0375,0.0,0.0469,0.1625,0.025,0.0375,0.025,0.0375,1.0,0.025,0.05,0.05,0.05,0.05,0.125,0.15,0.175,0.175,0.175,0.025,0.05,0.05,0.05,0.05,0.15,0.175,0.225,0.225,0.225
medium,0.1218,0.1068,0.2104,0.1635,0.1,0.075,0.0953,0.1729,0.05,0.1,0.075,0.1,1.0,0.025,0.025,0.1,0.15,0.1875,0.0833,0.2,0.15,0.2,0.2,0.0333,0.0333,0.1125,0.1583,0.2125,0.1083,0.225,0.2,0.225,0.275
