difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.4388,0.4406,0.325,0.225,0.65,0.1,0.3094,0.2688,0.35,0.5,0.55,0.65,1.0,0.25,0.35,0.3,0.275,0.375,0.3,0.225,0.275,0.3,0.25,0.3,0.45,0.45,0.475,0.475,0.3,0.25,0.325,0.4,0.35
hard,0.3594,0.475,0.5146,0.4896,0.075,0.05,0.3979,0.3052,0.05,0.05,0.1,0.075,1.0,0.225,0.3833,0.4333,0.4583,0.4083,0.2333,0.3375,0.3,0.2833,0.3667,0.275,0.4083,0.5333,0.5417,0.5583,0.4833,0.5875,0.45,0.4667,0.625
medium,0.3544,0.4547,0.375,0.3,0.275,0.1,0.3104,0.2052,0.225,0.125,0.425,0.275,1.0,0.175,0.325,0.35,0.275,0.4083,0.075,0.2958,0.15,0.2,0.275,0.175,0.4333,0.5083,0.5333,0.5125,0.125,0.4458,0.35,0.4083,0.4667
