difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.4475,0.4062,0.55,0.4,0.55,0.15,0.4062,0.55,0.35,0.55,0.35,0.55,1.0,0.3,0.35,0.35,0.5,0.55,0.3,0.55,0.65,0.6,0.5,0.3,0.35,0.35,0.5,0.55,0.3,0.55,0.65,0.6,0.5
hard,0.5941,0.8125,0.8375,0.7719,0.125,0.075,0.7906,0.8375,0.1,0.125,0.1,0.125,1.0,0.575,0.75,0.85,0.85,0.85,0.65,0.825,0.85,0.9,0.9,0.575,0.775,0.875,0.875,0.875,0.65,0.825,0.85,0.9,0.9
medium,0.3438,0.4,0.4444,0.2917,0.35,0.1667,0.4,0.4444,0.2778,0.3889,0.2778,0.3889,0.9,0.3,0.3,0.425,0.5,0.45,0.4444,0.3611,0.5,0.3889,0.6111,0.3,0.3,0.425,0.5,0.45,0.4444,0.3611,0.5,0.3889,0.6111
