difficulty,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
easy,0.4412,0.9062,0.7688,0.2625,0.0,0.7,0.9062,0.725,0.95,0.0,0.95,0.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0,0.75,0.85,0.85,0.9,0.25,1.0,1.0,1.0,1.0,0.0,0.8,0.9,0.9,0.95
hard,0.3966,0.75,0.5625,0.3219,0.0,0.45,0.75,0.5625,0.775,0.0,0.775,0.0,1.0,0.15,0.675,0.9,0.9,0.9,0.175,0.575,0.625,0.625,0.675,0.15,0.675,0.9,0.9,0.9,0.175,0.575,0.625,0.625,0.675
medium,0.4197,0.8125,0.7344,0.2906,0.025,0.575,0.8031,0.7281,0.775,0.025,0.775,0.025,1.0,0.2,0.7,0.95,0.975,0.975,0.05,0.7,0.825,0.9,0.925,0.225,0.725,0.95,0.975,0.975,0.05,0.725,0.825,0.9,0.925
